Wavelength,Intensity
615.303596,56
616.094779,55
616.885046,54
617.674397,54
618.462832,54
619.250351,54
620.036954,53
620.822641,53
621.607413,53
622.391268,53
623.174207,53
623.95623,53
624.737337,53
625.517528,53
626.296803,53
627.075162,53
627.852606,52
628.629133,52
629.404744,51
630.179439,51
630.953218,50
631.726081,50
632.498029,50
633.26906,50
634.039175,51
634.808374,50
635.576657,50
636.344025,51
637.110476,51
637.876011,51
638.64063,50
639.404334,50
640.167121,50
640.928992,50
641.689947,50
642.449987,50
643.20911,50
643.967317,50
644.724609,49
645.480984,49
646.236443,49
646.990987,49
647.744614,49
648.497325,48
649.249121,48
650.0,47
650.749963,48
651.499011,48
652.247142,48
652.994357,49
653.740657,49
654.48604,48
655.230508,48
655.974059,49
656.716694,49
657.458414,48
658.199217,48
658.939105,49
659.678076,49
660.416132,50
661.153271,50
661.889495,49
662.624802,48
663.359194,48
664.092669,48
664.825229,49
665.556872,49
666.2876,49
667.017411,49
667.746307,48
668.474286,48
669.20135,48
669.927497,49
670.652729,50
671.377044,50
672.100444,50
672.822927,50
673.544495,49
674.265147,49
674.984882,50
675.703702,50
676.421605,50
677.138593,50
677.854665,49
678.56982,48
679.28406,48
679.997383,49
680.709791,49
681.421283,50
682.131858,50
682.841518,50
683.550262,50
684.258089,50
684.965001,51
685.670997,52
686.376076,53
687.08024,53
687.783488,52
688.48582,52
689.187235,52
689.887735,51
690.587319,51
691.285987,50
691.983738,49
692.680574,50
693.376494,50
694.071498,51
694.765585,51
695.458757,51
696.151013,50
696.842353,50
697.532777,51
698.222284,51
698.910876,52
699.598552,52
700.285312,53
700.971156,53
701.656084,53
702.340095,53
703.023191,53
703.705371,52
704.386635,51
705.066983,51
705.746415,50
706.424931,51
707.102531,51
707.779215,51
708.454983,51
709.129834,52
709.80377,53
710.47679,53
711.148894,53
711.820082,54
712.490354,54
713.15971,54
713.82815,53
714.495674,53
715.162282,54
715.827974,55
716.49275,56
717.15661,56
717.819554,56
718.481582,56
719.142694,56
719.80289,56
720.46217,57
721.120534,57
721.777982,57
722.434514,57
723.090131,56
723.744831,56
724.398615,56
725.051483,57
725.703435,57
726.354471,58
